finding_id,severity,category,check_title,resource_type,resource_name,resource_uid,risk,recommendation,disposition,owner,status,rationale
iam_administrator_access_with_mfa,high,identity-access,IAM group members granted AdministratorAccess have MFA enabled,AwsIamGroup,cloud-security-admins1,arn:aws:iam::010603499647:group/cloud-security-admins1,"**Admin users without MFA** are vulnerable to single-factor compromise. Stolen or guessed credentials can yield full control, enabling privilege escalation, policy changes, data exfiltration, and destructive operations, impacting **confidentiality**, **integrity**, and **availability**.","Enforce **MFA** for all administrator identities.
- Add conditions (e.g., `aws:MultiFactorAuthPresent`) to privileged permissions
- Prefer **hardware/FIDO2** devices
- Apply **least privilege** and favor **roles/SSO** over users
- Continuously monitor MFA status and remove unused admin access",MANUAL_REMEDIATE,IAM,OPEN,Admin access must have MFA before privilege reduction
iam_avoid_root_usage,high,identity-access,AWS account root user has not been used in the last day,AwsIamUser,<root_account>,arn:aws:iam::010603499647:root,"Recent **root usage** expands blast radius:
- Data exfiltration (**confidentiality**)
- Policy/key tampering (**integrity**)
- Resource deletion and billing changes (**availability**)
Routine use reduces anomaly visibility and eases **account takeover** impact.","Minimize `root` usage by applying **least privilege** with admin roles or federated SSO and temporary credentials.
- Enforce **MFA** on root
- Avoid or remove root access keys
- Require multi-person approval
- **Monitor and alert** on any root sign-in
- Use org guardrails for **defense in depth**",MANUAL_REMEDIATE,ACCOUNT_SECURITY,OPEN,Root activity requires controlled investigation
iam_aws_attached_policy_no_administrative_privileges,critical,identity-access,Attached AWS-managed IAM policy does not allow '*:*' administrative privileges,AwsIamPolicy,AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,"**Unrestricted `*:*` access** enables any action on any resource, risking:
- Data exfiltration (**confidentiality**)
- Unauthorized changes and policy tampering (**integrity**)
- Service deletion or shutdown (**availability**)
Attackers can disable logging, create backdoor principals, and expand lateral movement.","Apply **least privilege**: avoid attaching AWS-managed policies that grant `*:*`.
- Use **customer-managed, scoped policies** per role
- Enforce **separation of duties** and **permissions boundaries**
- Prefer **temporary, time-bound elevation** for emergencies with MFA
- Regularly review access and use conditions to constrain context",MANUAL_REMEDIATE,IAM,OPEN,AdministratorAccess requires least-privilege replacement
iam_check_saml_providers_sts,low,identity-access,IAM SAML provider exists in the account,Other,010603499647,arn:aws:iam::010603499647:root,"Without **SAML federation**, users rely on **long-lived IAM keys**. Compromised keys enable persistent API access, causing **data exfiltration (C)**, unauthorized resource or policy changes (**I**), and difficult revocation. Lack of IdP controls (e.g., **MFA**, session limits) weakens **accountability** and access governance.","Adopt **SAML federation** to issue **short-lived STS credentials**. Map users to roles with **least privilege**, enforce **MFA** at the IdP, and set conservative session durations. Retire IAM user access keys for interactive use and monitor role sessions as **defense in depth**. *If federation isn't possible*, tightly scope, rotate, and audit keys.",REPORT_ONLY,IDENTITY,OPEN,SAML federation is not required for this single-user lab
iam_group_administrator_access_policy,high,identity-access,IAM group does not have AdministratorAccess policy attached,AwsIamGroup,cloud-security-admins1,arn:aws:iam::010603499647:group/cloud-security-admins1,"Group-wide `AdministratorAccess` gives all members unrestricted control. A stolen or misused account can:
- Read/exfiltrate sensitive data (C)
- Modify or delete resources and configs (I/A)
- Disable logging and weaken defenses, enabling persistence and lateral movement","Remove `AdministratorAccess` from groups. Apply **least privilege** with task-scoped, customer-managed policies and **separation of duties**. Use roles for admin tasks with MFA, time-bound elevation, and auditing. Regularly review group membership and permissions; prefer **defense-in-depth** guardrails.",MANUAL_REMEDIATE,IAM,OPEN,AdministratorAccess group membership requires redesign
iam_policy_attached_only_to_group_or_roles,low,identity-access,IAM user has no inline or attached policies,AwsIamUser,cloud-security-admin/IAMUserChangePassword,arn:aws:iam::010603499647:user/cloud-security-admin,"Directly attached user policies hinder centralized control and cause privilege creep. If a user is compromised, excessive rights enable data exposure, resource tampering, and lateral movement, harming **confidentiality** and **integrity**. Revocation is error-prone, weakening **separation of duties** and auditability.","Assign permissions to **groups** (humans) and **roles** (workloads); avoid user-attached policies. Enforce **least privilege**, prefer federation and temporary credentials, and use tags or **permissions boundaries** to constrain scope. Review regularly to remove direct user policies and right-size access.",REPORT_ONLY,IAM,OPEN,IAMUserChangePassword is not itself an excessive-privilege finding
iam_role_access_not_stale_to_bedrock,medium,identity-access,Regular Bedrock access ensures IAM roles retain only actively used permissions,AwsIamRole,AWSServiceRoleForSupport,arn:aws:iam::010603499647:role/aws-service-role/support.amazonaws.com/AWSServiceRoleForSupport,"Stale Bedrock permissions widen the **blast radius** of a credential compromise.

An attacker who assumes a role with unused Bedrock permissions can invoke foundation models, exfiltrate data through model responses, or incur significant costs — all without triggering expected usage patterns.","Apply the **principle of least privilege** by regularly reviewing IAM Access Advisor data and revoking Bedrock permissions that are no longer actively used.

Establish a periodic access review process and automate alerts for stale permissions to maintain a minimal attack surface.",INVESTIGATE,IAM,OPEN,Determine whether Bedrock access is actually required
iam_role_cross_service_confused_deputy_prevention,high,identity-access,IAM service role prevents cross-service confused deputy attack,AwsIamRole,cloud-security-autoremediation-config,arn:aws:iam::010603499647:role/cloud-security-autoremediation-config,"Unrestricted service-principal trust lets outsiders trigger a **cross-service confused deputy**, causing unintended `sts:AssumeRole`.
This can enable data exfiltration, unauthorized changes, and lateral movement, impacting **confidentiality** and **integrity**.","Constrain service-role trust to expected callers using `aws:SourceArn`/`aws:SourceAccount` to bind service principals to specific resources or accounts. If unsupported, apply equivalent limits in resource-based policies or org-level controls. Apply **least privilege** and review trust relationships regularly.",EXCEPTION,PROJECT_1,OPEN,Project 1 roles are explicitly outside Project 2 remediation scope
iam_role_cross_service_confused_deputy_prevention,high,identity-access,IAM service role prevents cross-service confused deputy attack,AwsIamRole,cloud-security-autoremediation-remediation-lambda,arn:aws:iam::010603499647:role/cloud-security-autoremediation-remediation-lambda,"Unrestricted service-principal trust lets outsiders trigger a **cross-service confused deputy**, causing unintended `sts:AssumeRole`.
This can enable data exfiltration, unauthorized changes, and lateral movement, impacting **confidentiality** and **integrity**.","Constrain service-role trust to expected callers using `aws:SourceArn`/`aws:SourceAccount` to bind service principals to specific resources or accounts. If unsupported, apply equivalent limits in resource-based policies or org-level controls. Apply **least privilege** and review trust relationships regularly.",EXCEPTION,PROJECT_1,OPEN,Project 1 roles are explicitly outside Project 2 remediation scope
iam_root_hardware_mfa_enabled,critical,identity-access,Root account has a hardware MFA device enabled,AwsIamUser,<root_account>,arn:aws:iam::010603499647:mfa,"Without **hardware MFA** on the root user:
- No MFA: stolen password/keys enable full account takeover.
- Virtual MFA: device compromise or backup restoration weakens second-factor assurance.
An attacker could delete resources, change policies, and disable logging, harming **confidentiality**, **integrity**, and **availability**.","Require a **hardware MFA token** for the root user and remove any virtual MFA. Apply **least privilege**: avoid using root, disable access keys, and eliminate long-term credentials. In organizations, **centralize root management**. Keep a controlled break-glass process with strict recovery checks and continuous monitoring.",MANUAL_REMEDIATE,ACCOUNT_SECURITY,OPEN,Root MFA is an account-recovery control
