finding_id,severity,category,disposition,owner,status,rationale
awslambda_function_inside_vpc,low,network-security,REPORT_ONLY,PROJECT_1,OPEN,Lambda VPC placement is contextual and is not inherently a security vulnerability; require VPC deployment only when private-resource access or explicit network-isolation requirements justify it.
awslambda_function_no_dead_letter_queue,medium,resilience,INVESTIGATE,PROJECT_1,OPEN,Dead-letter handling depends on asynchronous invocation and failure-handling requirements; investigate invocation mode before remediation.
awslambda_function_invoke_api_operations_cloudtrail_logging_enabled,high,audit-logging,INVESTIGATE,ACCOUNT_SECURITY,OPEN,Logging of Lambda API operations should be verified through CloudTrail configuration and event evidence before remediation.
s3_account_level_public_access_blocks,high,data-protection,BLOCK,ACCOUNT_SECURITY,OPEN,Account-level S3 Block Public Access is a preventive control against unintended public exposure and should remain enforced unless a documented exception exists.
s3_bucket_cross_region_replication,low,resilience,REPORT_ONLY,GOVERNANCE,OPEN,Cross-region replication is a resilience and disaster-recovery decision rather than an inherently required security control; assess against business recovery requirements.
s3_bucket_event_notifications_enabled,low,monitoring,REPORT_ONLY,GOVERNANCE,OPEN,S3 event notifications are useful for detection and automation but their absence is not inherently a security vulnerability; assess required monitoring workflows.
s3_bucket_kms_encryption,medium,data-protection,INVESTIGATE,ACCOUNT_SECURITY,OPEN,Customer-managed KMS encryption may be required by policy or compliance but is not universally required; investigate data sensitivity and encryption requirements before changing encryption.
s3_bucket_lifecycle_enabled,low,data-management,REPORT_ONLY,GOVERNANCE,OPEN,Lifecycle configuration is primarily a cost, retention, and data-management control; remediation depends on documented retention requirements.
s3_bucket_no_mfa_delete,low,data-protection,REPORT_ONLY,GOVERNANCE,OPEN,S3 MFA Delete is a specialized protection for versioned buckets and requires contextual assessment; absence alone is not treated as a deployment-blocking vulnerability.
s3_bucket_object_lock,low,data-protection,REPORT_ONLY,GOVERNANCE,OPEN,Object Lock is appropriate for immutability and retention requirements but is not universally required; assess workload and compliance needs.
s3_bucket_object_versioning,medium,data-protection,INVESTIGATE,ACCOUNT_SECURITY,OPEN,Versioning can improve recovery from accidental deletion or overwrite but must be evaluated against workload and retention requirements before remediation.
s3_bucket_secure_transport_policy,high,data-protection,BLOCK,ACCOUNT_SECURITY,OPEN,S3 access should require encrypted transport to prevent credential and data exposure over insecure connections.
s3_bucket_server_access_logging_enabled,low,audit-logging,REPORT_ONLY,GOVERNANCE,OPEN,Server access logging can provide additional request-level evidence but is not universally required when equivalent centralized logging controls exist.
iam_role_access_not_stale_to_bedrock,medium,identity-access,INVESTIGATE,IAM,OPEN,Bedrock access for assessment roles requires evidence of actual use and intended scope before permissions are changed; do not remove access solely because the scanner reports potential staleness.
